"cutx2 [mm]","cuty1 [mm]","Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0.6,0.4,180,180,6.975,4.61228831040077
0.6,0.4,180,180,6.9875,4.6767398645198
0.6,0.4,180,180,7,4.97683913879979
0.6,0.4,180,180,7.0125,5.51049100473749
0.6,0.4,180,180,7.025,6.25851143942925
0.6,0.4,180,180,7.0375,7.19819532242968
0.6,0.4,180,180,7.05,8.31219670681758
0.6,0.4,180,180,7.0625,9.59159457476246
0.6,0.4,180,180,7.075,11.0362895437346
0.6,0.4,180,180,7.0875,12.6553653365829
0.6,0.4,180,180,7.1,14.4689621790431
0.6,0.4,180,180,7.1125,16.5131974866648
0.6,0.4,180,180,7.125,18.8510697763852
0.6,0.4,180,180,7.1375,21.5972712805465
0.6,0.4,180,180,7.15,24.9824288003359
0.6,0.4,180,180,7.1625,29.5656605893109
0.6,0.4,180,180,7.175,37.3973009587686
0.6,0.4,180,180,7.1875,49.5524979285045
0.6,0.4,180,180,7.2,35.0631969613117
0.6,0.4,180,180,7.2125,30.4890743144155
0.6,0.4,180,180,7.225,27.8667410494721
0.6,0.4,180,180,7.2375,26.0888608517127
0.6,0.4,180,180,7.25,24.7684741472543
0.6,0.4,180,180,7.2625,23.7230504872062
0.6,0.4,180,180,7.275,22.8513791637707
0.6,0.4,180,180,7.2875,22.0914504438895
0.6,0.4,180,180,7.3,21.4028100396504
0.6,0.4,180,180,7.3125,20.7581205116932
0.6,0.4,180,180,7.325,20.1387334788647
0.6,0.4,180,180,7.3375,19.5322127003238
0.6,0.4,180,180,7.35,18.9308966806423
0.6,0.4,180,180,7.3625,18.3310416952099
0.6,0.4,180,180,7.375,17.7323245085274
0.6,0.4,180,180,7.3875,17.1375863210329
0.6,0.4,180,180,7.4,16.5527477008972
0.6,0.4,180,180,7.4125,15.9868358732564
0.6,0.4,180,180,7.425,15.4521066228515
0.6,0.4,180,180,7.4375,14.9641762884706
0.6,0.4,180,180,7.45,14.5421246196912
0.6,0.4,180,180,7.4625,14.2084439163166
0.6,0.4,180,180,7.475,13.9887756560776
0.6,0.4,180,180,7.4875,13.911417601506
0.6,0.4,180,180,7.5,14.0068223145521
0.6,0.4,180,180,7.5125,14.3076490163526
0.6,0.4,180,180,7.525,14.8504476246401
0.6,0.4,180,180,7.5375,15.6807566787647
0.6,0.4,180,180,7.55,16.864866669567
0.6,0.4,180,180,7.5625,18.5161552394509
0.6,0.4,180,180,7.575,20.8612490111207
0.6,0.4,180,180,7.5875,24.4549787375683
0.6,0.4,180,180,7.6,31.3509982266658
0.6,0.4,180,180,7.6125,42.4553225099329
0.6,0.4,180,180,7.625,27.1729973441894
