freq	dB(SP1.SP.S(1,1))
6.74000000000000021E9	-1.11051798235488830E1
6.75000000000000000E9	-1.11874849440917346E1
6.75999999999999979E9	-1.12823115254805884E1
6.77000000000000046E9	-1.13904092401529922E1
6.77999999999999936E9	-1.15126277973393920E1
6.79000000000000092E9	-1.16499315621584176E1
6.79999999999999982E9	-1.18034169717344728E1
6.80999999999999961E9	-1.19743333985176026E1
6.82000000000000028E9	-1.21641082874279793E1
6.83000000000000007E9	-1.23743776233868985E1
6.84000000000000075E9	-1.26070230858117260E1
6.84999999999999964E9	-1.28642176373422701E1
6.85999999999999943E9	-1.31484817991968028E1
6.87000000000000011E9	-1.34627535078566418E1
6.87999999999999989E9	-1.38104752364574601E1
6.89000000000000057E9	-1.41957029619804809E1
6.90000000000000036E9	-1.46232423993843730E1
6.90999999999999925E9	-1.50988182055955900E1
6.91999999999999993E9	-1.56292802387373442E1
6.92999999999999972E9	-1.62228439884327313E1
6.94000000000000039E9	-1.68893411516282654E1
6.95000000000000018E9	-1.76403982973991269E1
6.95999999999999908E9	-1.84893072288626104E1
6.97000000000000064E9	-1.94499427239164868E1
6.97999999999999954E9	-2.05330097791357868E1
6.99000000000000021E9	-2.17351748069469952E1
7.00000000000000000E9	-2.30107104872247659E1
7.00999999999999979E9	-2.42098758818448623E1
7.02000000000000046E9	-2.50055243345314748E1
7.02999999999999936E9	-2.49942612335206471E1
7.04000000000000092E9	-2.41009463220468412E1
7.04999999999999982E9	-2.26779856452449247E1
7.05999999999999961E9	-2.11032504015116862E1
7.07000000000000028E9	-1.95753949687385687E1
7.08000000000000007E9	-1.81641834297735549E1
7.09000000000000075E9	-1.68825222729243651E1
7.09999999999999964E9	-1.57232476836308344E1
7.10999999999999943E9	-1.46737799629617860E1
7.12000000000000011E9	-1.37213411159049858E1
7.12999999999999989E9	-1.28545694506739272E1
7.14000000000000057E9	-1.20638278011820588E1
7.15000000000000036E9	-1.13410723244444100E1
7.15999999999999925E9	-1.06796028293464729E1
7.16999999999999993E9	-1.00738089231141781E1
7.17999999999999972E9	-9.51894825128401578E0
7.19000000000000039E9	-9.01096422911010464E0
7.20000000000000018E9	-8.54634065293197231E0
7.20999999999999908E9	-8.12198774630564735E0
7.22000000000000064E9	-7.73515397452033149E0
7.22999999999999954E9	-7.38335858023339764E0
7.24000000000000021E9	-7.06434058698700440E0
7.25000000000000000E9	-6.77602075966749151E0
7.25999999999999979E9	-6.51647364394434447E0
7.27000000000000046E9	-6.28390733262453516E0
7.27999999999999936E9	-6.07664904427979291E0
7.29000000000000092E9	-5.89313496727610886E0
7.29999999999999982E9	-5.73190313476821789E0
7.30999999999999961E9	-5.59158836280521854E0
7.32000000000000028E9	-5.47091851034551802E0
7.33000000000000007E9	-5.36871151051468409E0
7.34000000000000075E9	-5.28387277974075698E0
7.34999999999999964E9	-5.21539273821998517E0
7.35999999999999943E9	-5.16234427445656063E0
7.37000000000000011E9	-5.12388006167051024E0
7.37999999999999989E9	-5.09922968816875333E0
7.39000000000000057E9	-5.08769660086811992E0
7.40000000000000036E9	-5.08865488444741842E0
7.40999999999999925E9	-5.10154591119042067E0
7.41999999999999993E9	-5.12587490117384093E0
7.42999999999999972E9	-5.16120743130888116E0
7.44000000000000039E9	-5.20716592666177558E0
7.45000000000000018E9	-5.26342615982529338E0
7.45999999999999908E9	-5.32971377486374465E0
7.47000000000000064E9	-5.40580084215373269E0
7.47999999999999954E9	-5.49150243964907947E0
7.49000000000000021E9	-5.58667324484151706E0
7.50000000000000000E9	-5.69120410990885617E0
7.50999999999999979E9	-5.80501858001778892E0
7.52000000000000046E9	-5.92806930113121844E0
7.52999999999999936E9	-6.06033424848594748E0
7.54000000000000092E9	-6.20181268957603304E0
7.54999999999999982E9	-6.35252077531893100E0
7.55999999999999961E9	-6.51248662931865674E0
7.57000000000000028E9	-6.68174477692493252E0
7.58000000000000007E9	-6.86032972223708093E0
7.59000000000000075E9	-7.04826844148222698E0
7.59999999999999964E9	-7.24557151466154092E0
7.60999999999999943E9	-7.45222256380220038E0
7.62000000000000011E9	-7.66816560622701360E0
7.62999999999999989E9	-7.89328986712163072E0
7.64000000000000057E9	-8.12741153205976019E0
7.65000000000000036E9	-8.37025186583622371E0
7.65999999999999925E9	-8.62141109406766581E0
7.66999999999999993E9	-8.88033746300418514E0
7.67999999999999972E9	-9.14629099851478955E0
7.69000000000000039E9	-9.41830173248600033E0
7.70000000000000018E9	-9.69512263037801780E0
7.70999999999999908E9	-9.97517823572050766E0
7.72000000000000064E9	-1.02565112585906237E1
7.72999999999999954E9	-1.05367310793532232E1
7.74000000000000021E9	-1.08129704607103538E1
7.75000000000000000E9	-1.10818595577164403E1
7.75999999999999979E9	-1.13395292093524414E1
7.77000000000000046E9	-1.15816576928979109E1
7.77999999999999936E9	-1.18035753374209240E1
7.79000000000000092E9	-1.20004379800267080E1
7.79999999999999982E9	-1.21674717237469232E1
